Wavenumber,300K,310K,320K,330K,340K,350K,360K,370K,380K,390K,400K,410K,420K,430K,440K,450K,460K,470K,480K,490K,500K,510K,520K,530K,540K,550K,560K,570K,580K,590K,600K,610K,620K,630K,640K,650K,660K,670K,680K,690K,700K
988.543,2453.01,3940.82,4082.07,4499.54,3779.17,3921.99,4435.19,4421.06,3939.25,4937.4,5168.11,5113.18,5525.94,5979.5,6023.45,6919.59,6120.75,4821.27,5609.12,6028.15,5361.15,5736.24,4698.85,4984.49,4171.53,4240.58,4198.21,4223.32,2970.92,2431.04,2250.55,2066.93,1878.6,1971.2,1975.9,1721.66,1839.36,1756.18,1727.93,2774.74,2335.3
986.95,2445.16,3964.36,4204.48,4518.37,3699.13,3958.08,4507.38,4504.24,3917.28,4775.75,5152.42,5105.33,5516.52,5976.36,6064.25,6828.56,6133.31,4794.59,5709.56,5949.68,5395.68,5841.39,4667.46,4973.5,4218.61,4207.62,4212.33,4089.92,2967.78,2448.3,2333.73,2131.28,1902.14,1958.64,1996.31,1796.99,1869.18,1790.71,1632.2,2679.01,2333.73
985.357,2502.51,3945.96,4261.32,4593.94,3767.09,3930.27,4479.41,4504.51,3989.89,4964.22,5309.39,5185.44,5585.53,6006.01,6150.36,6923.86,6205.27,4746.13,5885.2,5977.77,5514.92,5924.43,4669.25,4964.22,4283.28,4404.1,4338.2,4120.11,3020.26,2435.04,2295.4,2160.47,1921.99,2061.62,1959.64,1771.37,1857.66,1788.62,1680.37,2725.3,2342.47
983.763,2493.94,3957.37,4314.99,4534.58,3824.04,3973.05,4586.34,4490.66,3958.94,4932.98,5304.72,5151.01,5615.29,5982.32,6150.15,7031.66,6255.24,4843.58,5769.0,5991.73,5365.89,5842.72,4746.33,4945.53,4181.66,4357.34,4297.74,4125.2,3072.72,2555.11,2338.66,2104.95,1913.59,2158.28,2045.35,1792.81,1805.36,1806.93,1645.37,2721.38,2357.48
982.169,2519.88,4056.59,4301.21,4544.26,3832.35,3924.87,4514.46,4454.88,4014.25,4951.95,5195.0,5083.67,5516.46,5977.47,6079.39,6894.79,6261.29,4868.85,5811.25,6005.69,5455.3,5924.16,4730.86,4991.16,4213.39,4376.47,4203.99,4144.4,3076.55,2497.93,2298.79,2179.61,1894.22,2027.51,2060.44,1789.16,1919.31,1840.91,1690.38,2731.57,2402.28
980.574,2462.73,4064.84,4317.22,4663.67,3771.69,4006.83,4542.96,4478.69,4077.38,4939.57,5311.09,5137.09,5621.48,6123.12,6218.74,7010.39,6315.94,4911.35,5839.38,6054.14,5488.23,5826.84,4856.48,5005.41,4209.06,4425.39,4364.25,4325.06,2994.15,2530.14,2335.75,2128.83,1923.47,2037.9,2086.5,1820.01,1873.3,1862.33,1689.89,2727.66,2411.0
978.9789999999999,2388.37,4107.56,4287.79,4649.8,3833.31,4057.41,4593.38,4532.26,4131.07,4956.97,5293.91,5188.91,5655.93,6057.12,6329.81,6851.68,6301.6,4850.4,5870.63,5950.56,5450.63,5894.14,4820.62,4971.07,4232.93,4466.44,4333.23,4268.98,3062.26,2502.78,2358.6,2176.8,1946.43,2112.55,2027.92,1814.79,1864.94,1869.64,1698.82,2788.0,2372.7
977.383,2519.3,4092.3,4466.75,4524.71,3847.89,4134.6,4559.18,4599.92,4071.93,4994.73,5270.48,5167.07,5613.59,6122.78,6180.75,6976.65,6243.42,4957.13,5881.5,5947.3,5480.42,5926.94,4932.06,5062.1,4310.07,4372.74,4361.77,4277.17,3064.52,2497.37,2376.73,2179.32,1964.68,2129.19,2047.72,1864.41,1934.91,1823.67,1703.03,2633.67,2517.73
975.7869999999999,2491.96,4167.89,4340.18,4736.45,3970.54,4069.22,4575.13,4571.99,4158.49,5018.39,5328.51,5190.68,5765.51,6066.23,6182.14,7038.9,6141.42,5095.13,5958.16,6163.34,5577.55,5969.12,4819.47,5040.31,4272.83,4348.02,4582.96,4224.28,3178.0,2524.86,2473.17,2261.72,2018.95,2075.33,2034.61,1830.99,1982.92,1928.1,1765.21,2775.46,2504.49
974.19,2593.05,4136.97,4434.48,4638.04,4019.53,4196.47,4702.24,4561.32,4185.51,5153.21,5372.43,5386.52,5694.99,6058.27,6180.4,7079.2,6272.79,5026.37,5928.3,6095.85,5705.95,6073.93,4825.95,4930.86,4349.93,4498.68,4389.07,4317.04,3134.83,2679.17,2480.3,2236.03,2023.08,2157.74,2087.28,1899.37,2013.68,1913.47,1720.87,2829.49,2441.16
972.5930000000001,2623.63,4259.48,4498.99,4818.34,4001.19,4198.43,4757.29,4693.1,4154.6,5123.59,5383.45,5273.87,5809.24,6166.16,6333.65,7080.36,6427.58,5024.97,5962.65,6153.63,5576.0,6001.79,4912.26,5035.93,4345.58,4575.7,4506.82,4295.49,3159.0,2537.53,2493.7,2240.1,2052.25,2180.62,2152.44,1859.71,1944.24,1901.97,1748.56,2944.54,2495.27
970.9960000000001,2696.45,4297.42,4550.95,4807.61,4043.9,4281.77,4835.78,4671.45,4223.87,5137.82,5402.3,5295.88,5734.07,6178.53,6410.14,7025.18,6507.17,5126.86,5896.83,6219.22,5680.86,6045.5,4860.82,5053.31,4441.4,4488.35,4516.52,4396.02,3178.47,2608.82,2507.09,2219.14,2056.38,2156.54,2106.46,1835.72,2000.04,1893.62,1788.77,2870.17,2499.27
969.398,2625.3,4257.12,4563.77,4868.86,4036.52,4199.23,4751.52,4709.27,4208.62,5172.38,5397.67,5414.88,5791.94,6173.69,6406.8,7013.85,6381.77,5050.34,6043.83,6056.35,5629.23,6064.17,5037.83,5144.22,4316.57,4607.58,4480.85,4386.98,3147.86,2622.17,2473.54,2234.17,2082.41,2166.89,2130.91,1900.92,2005.74,1915.0,1796.1,2966.37,2583.06
967.8,2663.68,4263.77,4646.98,4959.8,4137.08,4219.97,4750.21,4822.16,4351.36,5124.03,5535.39,5263.24,5835.7,6218.91,6441.01,7141.73,6442.58,5206.93,6081.27,6220.47,5735.6,6139.14,5050.52,5161.57,4320.08,4501.51,4479.62,4382.64,3197.04,2699.66,2541.68,2313.32,2108.42,2191.32,2108.42,1908.22,2002.06,1886.32,1765.88,3012.48,2607.37
966.201,2700.48,4403.33,4711.38,4866.18,4165.65,4250.09,4858.36,4872.44,4304.82,5182.04,5343.1,5418.16,5913.85,6206.26,6420.48,7017.81,6611.25,5222.7,6156.22,6217.2,5818.46,6073.34,5010.04,5188.3,4357.98,4589.41,4580.03,4464.31,3227.44,2725.5,2459.67,2300.18,2100.03,2228.25,2190.72,1906.13,2031.22,1992.13,1795.11,3028.85,2645.75
964.602,2743.51,4478.73,4733.54,4947.7,4162.95,4294.26,4902.37,4938.32,4420.89,5286.93,5513.6,5468.27,5823.13,6312.43,6564.11,7183.16,6512.52,5230.65,6098.26,6381.21,5762.16,6135.78,5072.76,5258.79,4436.52,4555.33,4541.26,4472.47,3203.11,2641.9,2549.67,2358.95,2111.96,2169.8,2233.89,1966.58,2050.99,2030.67,1852.46,3104.63,2610.64
963.002,2794.34,4424.37,4744.75,5016.69,4161.82,4391.55,4822.89,4907.29,4374.36,5176.09,5529.29,5412.08,5926.25,6334.15,6438.86,7245.28,6537.32,5193.29,6196.62,6362.28,5826.23,6196.62,4993.24,5341.75,4510.33,4716.62,4668.17,4538.46,3249.12,2695.88,2600.55,2409.88,2127.01,2316.11,2206.72,1964.48,2105.13,2017.61,1926.97,3006.89,2645.87
961.4019999999999,2709.21,4582.54,4784.09,5262.19,4304.43,4437.24,4884.08,4912.21,4370.05,5318.43,5612.17,5516.86,5948.08,6369.93,6648.04,7210.51,6796.47,5220.0,6285.56,6380.87,5793.41,6204.32,5170.01,5396.55,4545.04,4643.47,4707.53,4496.61,3279.49,2743.59,2651.4,2410.79,2154.56,2337.36,2229.55,1993.63,2106.12,2013.94,1896.76,3102.94,2684.22
959.801,2792.83,4534.44,4873.4,5207.66,4159.57,4337.63,4931.19,4834.35,4373.56,5338.87,5676.26,5523.18,6024.58,6469.75,6466.62,7281.98,6554.09,5237.34,6147.98,6318.23,5840.26,6365.09,5057.71,5313.88,4512.58,4542.25,4625.04,4492.27,3225.5,2741.29,2711.61,2477.31,2186.78,2252.38,2235.2,2018.09,2122.74,2029.02,1825.96,3116.16,2785.02
958.2,2862.35,4644.1,4997.01,5418.64,4402.06,4430.16,5020.44,4917.37,4533.23,5440.5,5860.56,5610.71,5996.41,6552.33,6692.87,7426.81,6685.07,5395.21,6391.49,6522.66,6055.75,6374.31,5146.92,5463.92,4556.65,4784.64,4675.33,4545.72,3393.28,2767.1,2718.69,2406.37,2201.81,2272.08,2312.68,2033.16,2156.52,2122.17,1901.99,3124.69,2782.71
956.5989999999999,2861.59,4585.09,4911.37,5314.15,4416.49,4517.96,5094.03,4930.11,4474.25,5359.42,5741.91,5540.52,6069.75,6503.75,6575.56,7445.12,6789.44,5368.79,6406.95,6480.33,6030.72,6268.01,5209.55,5362.55,4645.98,4797.41,4745.89,4706.86,3397.06,2739.82,2685.18,2469.74,2213.71,2372.95,2290.21,2004.52,2121.6,2116.92,1913.97,3125.42,2792.9
954.997,2938.86,4822.67,5003.71,5426.67,4435.6,4576.07,5128.57,5066.14,4488.67,5381.41,5796.56,5559.33,6146.17,6601.9,6717.4,7516.49,6820.4,5353.31,6274.15,6637.8,5913.62,6473.92,5304.93,5423.55,4613.53,4761.8,4824.23,4730.58,3502.29,2823.37,2703.19,2511.22,2297.4,2359.83,2311.45,2066.41,2178.78,2113.23,1994.62,3263.49,2759.38
953.395,2917.8,4673.16,5000.82,5408.07,4367.33,4666.92,5159.98,5005.5,4596.7,5458.0,5765.38,5568.78,6110.21,6480.01,6821.72,7537.9,6707.81,5306.65,6369.22,6526.82,6010.35,6288.09,5152.17,5355.02,4606.06,4804.22,4822.95,4599.82,3459.23,2799.21,2685.31,2494.95,2260.9,2334.24,2310.83,2098.63,2217.21,2076.79,1942.6,3229.86,2811.7
951.7919999999999,3021.54,4849.75,5164.85,5559.51,4472.25,4779.56,5252.21,4980.78,4575.21,5532.99,5787.26,5692.1,6094.56,6640.53,6698.24,7457.92,6904.15,5426.92,6462.7,6472.06,5996.28,6423.7,5284.97,5509.59,4657.88,4799.84,4888.75,4710.92,3509.79,2867.11,2803.15,2511.45,2297.74,2366.38,2310.22,2162.03,2194.79,2123.03,2015.4,3316.36,2821.87
950.189,3026.98,4928.01,5275.78,5645.38,4606.76,4761.15,5243.03,5260.18,4664.46,5442.65,5882.42,5762.34,6262.94,6702.72,6825.92,7597.87,6863.35,5522.18,6585.76,6609.15,6211.48,6521.82,5305.41,5614.19,4731.52,4881.23,4821.97,4736.19,3490.16,2973.96,2721.32,2591.88,2322.09,2521.71,2425.02,2131.83,2220.72,2186.42,2011.75,3329.53,2958.37
948.586,3063.61,4943.87,5311.82,5606.48,4543.19,4859.68,5244.78,5171.5,4667.91,5625.19,5877.77,5690.68,6184.91,6630.81,6768.01,7606.8,6970.69,5425.63,6463.98,6679.14,6172.43,6543.5,5341.44,5631.43,4722.48,4869.04,4920.49,4767.69,3571.87,2999.69,2800.12,2636.42,2380.73,2469.6,2416.59,2095.42,2307.45,2157.78,2014.34,3440.91,2946.68
946.982,3139.19,4979.99,5251.2,5696.99,4652.67,4778.92,5388.37,5280.82,4619.94,5686.07,5827.91,5689.19,6230.05,6682.07,6822.35,7568.96,6880.03,5539.56,6468.53,6705.45,6133.42,6574.52,5294.85,5689.19,4763.33,4937.91,4983.11,4824.12,3525.74,2942.79,2891.36,2680.93,2401.93,2495.45,2511.04,2177.48,2378.55,2252.3,2074.61,3433.78,2952.14
945.377,3147.72,5151.67,5327.75,5750.05,4651.46,4773.01,5368.27,5254.51,4787.03,5725.11,6066.38,5893.41,6155.2,6789.42,6923.43,7672.96,7021.6,5617.59,6568.14,6786.3,6131.82,6692.8,5348.01,5634.73,4735.61,4916.37,4961.56,4822.87,3649.49,2987.22,2892.16,2617.91,2499.48,2585.18,2451.17,2222.1,2357.67,2243.92,2102.12,3498.33,2988.78
943.773,3131.33,5183.05,5348.18,5773.48,4726.59,4778.0,5407.38,5304.56,4812.28,5731.42,6019.63,5851.38,6458.95,6804.8,7080.54,7762.89,7019.78,5687.8,6600.72,6706.65,6237.73,6768.97,5413.62,5627.04,4840.32,4999.22,5064.65,4930.67,3651.66,3016.05,2855.58,2706.03,2406.92,2568.94,2529.99,2297.87,2333.7,2246.46,2054.84,3609.6,3072.13
942.168,3203.72,5303.2,5575.76,5711.26,4739.39,4926.29,5446.49,5405.99,4873.34,5655.19,6150.46,5837.41,6405.89,6966.58,6986.83,7806.06,7106.75,5669.2,6636.4,6856.0,6298.42,6690.91,5474.52,5706.58,4832.84,5069.58,5001.05,4993.26,3670.97,3013.71,3004.37,2692.87,2512.21,2582.29,2558.93,2248.99,2406.3,2273.91,2088.57,3594.65,3132.08
